cumulative_return,mean_return,volatility,sharpe,hit_rate,n_obs,active_rate,model_name,class_type,model_id,window_id,split,portfolio_name
7.508613449456314,0.0018612028434920355,0.017850538394389045,0.1042659219778529,0.5365659777424483,1258.0,1.0,logit,binary,logit_binary,win_01,train,strategy_gross
6.920991490965666,0.001804366595479317,0.017857880091469724,0.10104035788330885,0.5357710651828299,1258.0,1.0,logit,binary,logit_binary,win_01,train,strategy_net
-0.7315482178733554,-0.0008829287480232012,0.017925634423102892,-0.049255090625147754,0.4825119236883943,1258.0,,logit,binary,logit_binary,win_01,train,benchmark_nvda_minus_tsla
1.4833195655286109,0.0008829287480232012,0.017925634423102892,0.049255090625147754,0.5166931637519873,1258.0,,logit,binary,logit_binary,win_01,train,benchmark_tsla_minus_nvda
1.1229411617530332,0.0007580124796026813,0.017931355576101603,0.04227301591258045,0.5015898251192369,1258.0,1.0,logit,binary,logit_binary,win_01,train,benchmark_mom21
-0.41881769326788454,-0.0002695731270262559,0.017939607425808177,-0.015026701567529516,0.4912559618441971,1258.0,0.9992050874403816,logit,binary,logit_binary,win_01,train,benchmark_random_walk
0.028570728760854314,0.0005904153239658923,0.017067841810665396,0.03459226600031833,0.5396825396825397,63.0,1.0,logit,binary,logit_binary,win_01,val,strategy_gross
0.018331120490754582,0.00043168516523573336,0.017076387513645232,0.025279653843108596,0.5079365079365079,63.0,1.0,logit,binary,logit_binary,win_01,val,strategy_net
0.23012646542584703,0.0034306089713205387,0.01672442928774272,0.20512562266234224,0.5714285714285714,63.0,,logit,binary,logit_binary,win_01,val,benchmark_nvda_minus_tsla
-0.20166073316177524,-0.0034306089713205387,0.01672442928774272,-0.20512562266234224,0.42857142857142855,63.0,,logit,binary,logit_binary,win_01,val,benchmark_tsla_minus_nvda
0.21780251718724464,0.00327078761305536,0.016756933965463607,0.19519009979967233,0.5714285714285714,63.0,1.0,logit,binary,logit_binary,win_01,val,benchmark_mom21
-0.1901133638304061,-0.003199948311584238,0.01677082620506628,-0.19080445247340108,0.4603174603174603,63.0,1.0,logit,binary,logit_binary,win_01,val,benchmark_random_walk
-0.032343563233175554,-0.000411805564561344,0.016118519899341672,-0.025548596715642816,0.47540983606557374,61.0,1.0,logit,binary,logit_binary,win_01,test,strategy_gross
-0.038610238901521376,-0.0005183629416105244,0.016111328741996833,-0.03217381694033255,0.45901639344262296,61.0,1.0,logit,binary,logit_binary,win_01,test,strategy_net
0.00903756586393456,0.0002746428323758111,0.016121489017314607,0.017035822936754944,0.5081967213114754,61.0,,logit,binary,logit_binary,win_01,test,benchmark_nvda_minus_tsla
-0.02430228668940826,-0.0002746428323758111,0.016121489017314607,-0.017035822936754944,0.4918032786885246,61.0,,logit,binary,logit_binary,win_01,test,benchmark_tsla_minus_nvda
0.022445868230284827,0.000491220406259221,0.016116258090922028,0.030479805143845136,0.47540983606557374,61.0,1.0,logit,binary,logit_binary,win_01,test,benchmark_mom21
-0.03284243525542574,-0.0004187732039220803,0.016118337386941167,-0.025981166287123634,0.5245901639344263,61.0,1.0,logit,binary,logit_binary,win_01,test,benchmark_random_walk
4.2299039519839505,0.0014674455169294267,0.017473703624773056,0.08398022242113458,0.5365659777424483,1258.0,1.0,logit,binary,logit_binary,win_02,train,strategy_gross
3.7653041189335736,0.0013935186488849116,0.01747982101940294,0.07972156278591633,0.5310015898251192,1258.0,1.0,logit,binary,logit_binary,win_02,train,strategy_net
-0.6562055051238644,-0.0006937814551068031,0.017521521401005487,-0.039595959690292074,0.4864864864864865,1258.0,,logit,binary,logit_binary,win_02,train,benchmark_nvda_minus_tsla
0.975170635424377,0.0006937814551068031,0.017521521401005487,0.039595959690292074,0.5127186009538951,1258.0,,logit,binary,logit_binary,win_02,train,benchmark_tsla_minus_nvda
1.7429354065621414,0.0009545514151937036,0.01750924140434068,0.05451700579998073,0.5071542130365659,1258.0,1.0,logit,binary,logit_binary,win_02,train,benchmark_mom21
-0.5222499362506043,-0.0004324876975752428,0.01752403842371839,-0.02467968210968315,0.48966613672496023,1258.0,0.9992050874403816,logit,binary,logit_binary,win_02,train,benchmark_random_walk
0.15293455695563796,0.0024598815134112425,0.01593195614546974,0.15439921444365204,0.5737704918032787,61.0,1.0,logit,binary,logit_binary,win_02,val,strategy_gross
0.14549438422015326,0.002353324136362062,0.015920416037799305,0.14781800492993674,0.5573770491803278,61.0,1.0,logit,binary,logit_binary,win_02,val,strategy_net
0.00903756586393456,0.0002746428323758111,0.016121489017314607,0.017035822936754944,0.5081967213114754,61.0,,logit,binary,logit_binary,win_02,val,benchmark_nvda_minus_tsla
-0.02430228668940826,-0.0002746428323758111,0.016121489017314607,-0.017035822936754944,0.4918032786885246,61.0,,logit,binary,logit_binary,win_02,val,benchmark_tsla_minus_nvda
0.022445868230284827,0.000491220406259221,0.016116258090922028,0.030479805143845136,0.47540983606557374,61.0,1.0,logit,binary,logit_binary,win_02,val,benchmark_mom21
-0.03284243525542574,-0.0004187732039220803,0.016118337386941167,-0.025981166287123634,0.5245901639344263,61.0,1.0,logit,binary,logit_binary,win_02,val,benchmark_random_walk
0.1537936736712604,0.0023206983898409464,0.015606085288563158,0.14870471017748818,0.5692307692307692,65.0,1.0,logit,binary,logit_binary,win_02,test,strategy_gross
0.14918409294674473,0.002259159928302485,0.015617990498807842,0.1446511270752106,0.5692307692307692,65.0,1.0,logit,binary,logit_binary,win_02,test,strategy_net
